Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.93848944, 2080-2099, bcc_csm1_1, Jan Anomaly, France, FRA
0.75735044, 2080-2099, bcc_csm1_1, Feb Anomaly, France, FRA
0.83226585, 2080-2099, bcc_csm1_1, Mar Anomaly, France, FRA
1.1231325, 2080-2099, bcc_csm1_1, Apr Anomaly, France, FRA
0.6919463, 2080-2099, bcc_csm1_1, May Anomaly, France, FRA
1.0073583, 2080-2099, bcc_csm1_1, Jun Anomaly, France, FRA
0.9366533, 2080-2099, bcc_csm1_1, Jul Anomaly, France, FRA
0.8270409, 2080-2099, bcc_csm1_1, Aug Anomaly, France, FRA
0.36629045, 2080-2099, bcc_csm1_1, Sep Anomaly, France, FRA
0.73038167, 2080-2099, bcc_csm1_1, Oct Anomaly, France, FRA
0.82018954, 2080-2099, bcc_csm1_1, Nov Anomaly, France, FRA
0.48122934, 2080-2099, bcc_csm1_1, Dec Anomaly, France, FRA
0.6210777, 2080-2099, bcc_csm1_1_m, Jan Anomaly, France, FRA
1.0593158, 2080-2099, bcc_csm1_1_m, Feb Anomaly, France, FRA
0.9673655, 2080-2099, bcc_csm1_1_m, Mar Anomaly, France, FRA
0.61548513, 2080-2099, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.7001351, 2080-2099, bcc_csm1_1_m, May Anomaly, France, FRA
1.7882972, 2080-2099, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.0232136, 2080-2099, bcc_csm1_1_m, Jul Anomaly, France, FRA
2.1979094, 2080-2099, bcc_csm1_1_m, Aug Anomaly, France, FRA
2.6615303, 2080-2099, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.3135232, 2080-2099, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.0921937, 2080-2099, bcc_csm1_1_m, Nov Anomaly, France, FRA
0.7190829, 2080-2099, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.9370937, 2080-2099, ccsm4, Jan Anomaly, France, FRA
1.612855, 2080-2099, ccsm4, Feb Anomaly, France, FRA
1.4894688, 2080-2099, ccsm4, Mar Anomaly, France, FRA
1.6861322, 2080-2099, ccsm4, Apr Anomaly, France, FRA
1.2145718, 2080-2099, ccsm4, May Anomaly, France, FRA
1.3477919, 2080-2099, ccsm4, Jun Anomaly, France, FRA
1.4842367, 2080-2099, ccsm4, Jul Anomaly, France, FRA
1.9376694, 2080-2099, ccsm4, Aug Anomaly, France, FRA
1.5723171, 2080-2099, ccsm4, Sep Anomaly, France, FRA
0.7368381, 2080-2099, ccsm4, Oct Anomaly, France, FRA
1.2950168, 2080-2099, ccsm4, Nov Anomaly, France, FRA
1.1610658, 2080-2099, ccsm4, Dec Anomaly, France, FRA
1.9365405, 2080-2099, cesm1_cam5, Jan Anomaly, France, FRA
1.5906048, 2080-2099, cesm1_cam5, Feb Anomaly, France, FRA
1.5342276, 2080-2099, cesm1_cam5, Mar Anomaly, France, FRA
2.079878, 2080-2099, cesm1_cam5, Apr Anomaly, France, FRA
1.8153306, 2080-2099, cesm1_cam5, May Anomaly, France, FRA
1.5977695, 2080-2099, cesm1_cam5, Jun Anomaly, France, FRA
2.238514, 2080-2099, cesm1_cam5, Jul Anomaly, France, FRA
1.8100059, 2080-2099, cesm1_cam5, Aug Anomaly, France, FRA
1.8287866, 2080-2099, cesm1_cam5, Sep Anomaly, France, FRA
1.6105859, 2080-2099, cesm1_cam5, Oct Anomaly, France, FRA
1.8451518, 2080-2099, cesm1_cam5, Nov Anomaly, France, FRA
2.1400707, 2080-2099, cesm1_cam5, Dec Anomaly, France, FRA
1.1961893, 2080-2099, csiro_mk3_6_0, Jan Anomaly, France, FRA
1.7205988, 2080-2099, csiro_mk3_6_0, Feb Anomaly, France, FRA
1.235735, 2080-2099, csiro_mk3_6_0, Mar Anomaly, France, FRA
0.5900427, 2080-2099, csiro_mk3_6_0, Apr Anomaly, France, FRA
1.2500975, 2080-2099, csiro_mk3_6_0, May Anomaly, France, FRA
2.5455234, 2080-2099, csiro_mk3_6_0, Jun Anomaly, France, FRA
3.629058, 2080-2099, csiro_mk3_6_0, Jul Anomaly, France, FRA
3.902195, 2080-2099, csiro_mk3_6_0, Aug Anomaly, France, FRA
1.6648507, 2080-2099, csiro_mk3_6_0, Sep Anomaly, France, FRA
1.5925717, 2080-2099, csiro_mk3_6_0, Oct Anomaly, France, FRA
2.0087013, 2080-2099, csiro_mk3_6_0, Nov Anomaly, France, FRA
0.79927903, 2080-2099, csiro_mk3_6_0, Dec Anomaly, France, FRA
-0.8347788, 2080-2099, fio_esm, Jan Anomaly, France, FRA
-1.661891, 2080-2099, fio_esm, Feb Anomaly, France, FRA
-1.0723025, 2080-2099, fio_esm, Mar Anomaly, France, FRA
-1.6347703, 2080-2099, fio_esm, Apr Anomaly, France, FRA
-1.1497359, 2080-2099, fio_esm, May Anomaly, France, FRA
-1.3182315, 2080-2099, fio_esm, Jun Anomaly, France, FRA
-0.86284274, 2080-2099, fio_esm, Jul Anomaly, France, FRA
-1.277157, 2080-2099, fio_esm, Aug Anomaly, France, FRA
-1.3288609, 2080-2099, fio_esm, Sep Anomaly, France, FRA
-1.9022485, 2080-2099, fio_esm, Oct Anomaly, France, FRA
-1.5390459, 2080-2099, fio_esm, Nov Anomaly, France, FRA
-2.0974953, 2080-2099, fio_esm, Dec Anomaly, France, FRA
1.3950024, 2080-2099, gfdl_cm3, Jan Anomaly, France, FRA
0.9074727, 2080-2099, gfdl_cm3, Feb Anomaly, France, FRA
2.0067172, 2080-2099, gfdl_cm3, Mar Anomaly, France, FRA
1.6167651, 2080-2099, gfdl_cm3, Apr Anomaly, France, FRA
1.7701448, 2080-2099, gfdl_cm3, May Anomaly, France, FRA
3.409098, 2080-2099, gfdl_cm3, Jun Anomaly, France, FRA
4.236298, 2080-2099, gfdl_cm3, Jul Anomaly, France, FRA
4.0458035, 2080-2099, gfdl_cm3, Aug Anomaly, France, FRA
3.5119984, 2080-2099, gfdl_cm3, Sep Anomaly, France, FRA
2.5232725, 2080-2099, gfdl_cm3, Oct Anomaly, France, FRA
2.3937361, 2080-2099, gfdl_cm3, Nov Anomaly, France, FRA
2.081255, 2080-2099, gfdl_cm3, Dec Anomaly, France, FRA
0.89223695, 2080-2099, gfdl_esm2m, Jan Anomaly, France, FRA
0.9309983, 2080-2099, gfdl_esm2m, Feb Anomaly, France, FRA
0.11412877, 2080-2099, gfdl_esm2m, Mar Anomaly, France, FRA
0.79373467, 2080-2099, gfdl_esm2m, Apr Anomaly, France, FRA
0.16586645, 2080-2099, gfdl_esm2m, May Anomaly, France, FRA
0.40611103, 2080-2099, gfdl_esm2m, Jun Anomaly, France, FRA
0.7752002, 2080-2099, gfdl_esm2m, Jul Anomaly, France, FRA
0.5037658, 2080-2099, gfdl_esm2m, Aug Anomaly, France, FRA
0.70787877, 2080-2099, gfdl_esm2m, Sep Anomaly, France, FRA
1.110296, 2080-2099, gfdl_esm2m, Oct Anomaly, France, FRA
0.58657926, 2080-2099, gfdl_esm2m, Nov Anomaly, France, FRA
0.56821734, 2080-2099, gfdl_esm2m, Dec Anomaly, France, FRA
0.44780087, 2080-2099, giss_e2_h, Jan Anomaly, France, FRA
