Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.23381567, 2020-2039, bcc_csm1_1, Jan Anomaly, France, FRA
0.7253756, 2020-2039, bcc_csm1_1, Feb Anomaly, France, FRA
0.61107504, 2020-2039, bcc_csm1_1, Mar Anomaly, France, FRA
0.57815665, 2020-2039, bcc_csm1_1, Apr Anomaly, France, FRA
-0.56191945, 2020-2039, bcc_csm1_1, May Anomaly, France, FRA
0.39563432, 2020-2039, bcc_csm1_1, Jun Anomaly, France, FRA
1.3104625, 2020-2039, bcc_csm1_1, Jul Anomaly, France, FRA
1.2816683, 2020-2039, bcc_csm1_1, Aug Anomaly, France, FRA
0.6382788, 2020-2039, bcc_csm1_1, Sep Anomaly, France, FRA
0.34287778, 2020-2039, bcc_csm1_1, Oct Anomaly, France, FRA
0.14621724, 2020-2039, bcc_csm1_1, Nov Anomaly, France, FRA
0.57003874, 2020-2039, bcc_csm1_1, Dec Anomaly, France, FRA
0.2744055, 2020-2039, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.23867676, 2020-2039, bcc_csm1_1_m, Feb Anomaly, France, FRA
0.9232411, 2020-2039, bcc_csm1_1_m, Mar Anomaly, France, FRA
0.6841304, 2020-2039, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.4075559, 2020-2039, bcc_csm1_1_m, May Anomaly, France, FRA
2.0786014, 2020-2039, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.0123551, 2020-2039, bcc_csm1_1_m, Jul Anomaly, France, FRA
0.4720173, 2020-2039, bcc_csm1_1_m, Aug Anomaly, France, FRA
1.1740807, 2020-2039, bcc_csm1_1_m, Sep Anomaly, France, FRA
0.7575697, 2020-2039, bcc_csm1_1_m, Oct Anomaly, France, FRA
0.8643199, 2020-2039, bcc_csm1_1_m, Nov Anomaly, France, FRA
0.36477983, 2020-2039, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.28419113, 2020-2039, ccsm4, Jan Anomaly, France, FRA
1.0040905, 2020-2039, ccsm4, Feb Anomaly, France, FRA
1.1386199, 2020-2039, ccsm4, Mar Anomaly, France, FRA
1.0383302, 2020-2039, ccsm4, Apr Anomaly, France, FRA
1.1278836, 2020-2039, ccsm4, May Anomaly, France, FRA
1.9210212, 2020-2039, ccsm4, Jun Anomaly, France, FRA
1.5972664, 2020-2039, ccsm4, Jul Anomaly, France, FRA
2.2235951, 2020-2039, ccsm4, Aug Anomaly, France, FRA
0.8686908, 2020-2039, ccsm4, Sep Anomaly, France, FRA
0.18901826, 2020-2039, ccsm4, Oct Anomaly, France, FRA
0.6874252, 2020-2039, ccsm4, Nov Anomaly, France, FRA
0.37947232, 2020-2039, ccsm4, Dec Anomaly, France, FRA
1.3719925, 2020-2039, cesm1_cam5, Jan Anomaly, France, FRA
0.72911805, 2020-2039, cesm1_cam5, Feb Anomaly, France, FRA
0.6893944, 2020-2039, cesm1_cam5, Mar Anomaly, France, FRA
1.4089564, 2020-2039, cesm1_cam5, Apr Anomaly, France, FRA
0.6520049, 2020-2039, cesm1_cam5, May Anomaly, France, FRA
1.0120053, 2020-2039, cesm1_cam5, Jun Anomaly, France, FRA
2.109004, 2020-2039, cesm1_cam5, Jul Anomaly, France, FRA
1.9435691, 2020-2039, cesm1_cam5, Aug Anomaly, France, FRA
1.8285191, 2020-2039, cesm1_cam5, Sep Anomaly, France, FRA
1.1440035, 2020-2039, cesm1_cam5, Oct Anomaly, France, FRA
1.5048984, 2020-2039, cesm1_cam5, Nov Anomaly, France, FRA
1.4550518, 2020-2039, cesm1_cam5, Dec Anomaly, France, FRA
0.8963524, 2020-2039, csiro_mk3_6_0, Jan Anomaly, France, FRA
0.06625055, 2020-2039, csiro_mk3_6_0, Feb Anomaly, France, FRA
1.3065914, 2020-2039, csiro_mk3_6_0, Mar Anomaly, France, FRA
0.10855287, 2020-2039, csiro_mk3_6_0, Apr Anomaly, France, FRA
0.7596326, 2020-2039, csiro_mk3_6_0, May Anomaly, France, FRA
0.39433032, 2020-2039, csiro_mk3_6_0, Jun Anomaly, France, FRA
1.294473, 2020-2039, csiro_mk3_6_0, Jul Anomaly, France, FRA
2.1606183, 2020-2039, csiro_mk3_6_0, Aug Anomaly, France, FRA
1.764057, 2020-2039, csiro_mk3_6_0, Sep Anomaly, France, FRA
1.7794161, 2020-2039, csiro_mk3_6_0, Oct Anomaly, France, FRA
0.8506672, 2020-2039, csiro_mk3_6_0, Nov Anomaly, France, FRA
