Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
6.649864, 2040-2059, bcc_csm1_1, Jan Average, France, FRA
6.618415, 2040-2059, bcc_csm1_1, Feb Average, France, FRA
7.9993787, 2040-2059, bcc_csm1_1, Mar Average, France, FRA
9.713822, 2040-2059, bcc_csm1_1, Apr Average, France, FRA
13.3329, 2040-2059, bcc_csm1_1, May Average, France, FRA
17.800783, 2040-2059, bcc_csm1_1, Jun Average, France, FRA
21.697235, 2040-2059, bcc_csm1_1, Jul Average, France, FRA
21.121807, 2040-2059, bcc_csm1_1, Aug Average, France, FRA
17.871855, 2040-2059, bcc_csm1_1, Sep Average, France, FRA
13.005792, 2040-2059, bcc_csm1_1, Oct Average, France, FRA
9.157259, 2040-2059, bcc_csm1_1, Nov Average, France, FRA
7.3269796, 2040-2059, bcc_csm1_1, Dec Average, France, FRA
7.053906, 2040-2059, bcc_csm1_1_m, Jan Average, France, FRA
7.322908, 2040-2059, bcc_csm1_1_m, Feb Average, France, FRA
8.021787, 2040-2059, bcc_csm1_1_m, Mar Average, France, FRA
10.93293, 2040-2059, bcc_csm1_1_m, Apr Average, France, FRA
15.018555, 2040-2059, bcc_csm1_1_m, May Average, France, FRA
18.491121, 2040-2059, bcc_csm1_1_m, Jun Average, France, FRA
22.08317, 2040-2059, bcc_csm1_1_m, Jul Average, France, FRA
22.065239, 2040-2059, bcc_csm1_1_m, Aug Average, France, FRA
18.762743, 2040-2059, bcc_csm1_1_m, Sep Average, France, FRA
13.605262, 2040-2059, bcc_csm1_1_m, Oct Average, France, FRA
9.8116045, 2040-2059, bcc_csm1_1_m, Nov Average, France, FRA
8.435757, 2040-2059, bcc_csm1_1_m, Dec Average, France, FRA
7.2567677, 2040-2059, ccsm4, Jan Average, France, FRA
8.042592, 2040-2059, ccsm4, Feb Average, France, FRA
8.887145, 2040-2059, ccsm4, Mar Average, France, FRA
11.356705, 2040-2059, ccsm4, Apr Average, France, FRA
14.888579, 2040-2059, ccsm4, May Average, France, FRA
18.412378, 2040-2059, ccsm4, Jun Average, France, FRA
20.77792, 2040-2059, ccsm4, Jul Average, France, FRA
21.069458, 2040-2059, ccsm4, Aug Average, France, FRA
17.854631, 2040-2059, ccsm4, Sep Average, France, FRA
13.35163, 2040-2059, ccsm4, Oct Average, France, FRA
10.583895, 2040-2059, ccsm4, Nov Average, France, FRA
8.248209, 2040-2059, ccsm4, Dec Average, France, FRA
7.0248265, 2040-2059, cesm1_cam5, Jan Average, France, FRA
7.330582, 2040-2059, cesm1_cam5, Feb Average, France, FRA
8.826346, 2040-2059, cesm1_cam5, Mar Average, France, FRA
11.274087, 2040-2059, cesm1_cam5, Apr Average, France, FRA
14.5021715, 2040-2059, cesm1_cam5, May Average, France, FRA
18.367771, 2040-2059, cesm1_cam5, Jun Average, France, FRA
21.107496, 2040-2059, cesm1_cam5, Jul Average, France, FRA
20.277128, 2040-2059, cesm1_cam5, Aug Average, France, FRA
17.292757, 2040-2059, cesm1_cam5, Sep Average, France, FRA
13.566131, 2040-2059, cesm1_cam5, Oct Average, France, FRA
10.28398, 2040-2059, cesm1_cam5, Nov Average, France, FRA
7.464894, 2040-2059, cesm1_cam5, Dec Average, France, FRA
5.243056, 2040-2059, csiro_mk3_6_0, Jan Average, France, FRA
5.3573318, 2040-2059, csiro_mk3_6_0, Feb Average, France, FRA
6.7561636, 2040-2059, csiro_mk3_6_0, Mar Average, France, FRA
9.489861, 2040-2059, csiro_mk3_6_0, Apr Average, France, FRA
13.886162, 2040-2059, csiro_mk3_6_0, May Average, France, FRA
19.539997, 2040-2059, csiro_mk3_6_0, Jun Average, France, FRA
22.912302, 2040-2059, csiro_mk3_6_0, Jul Average, France, FRA
23.054585, 2040-2059, csiro_mk3_6_0, Aug Average, France, FRA
19.42311, 2040-2059, csiro_mk3_6_0, Sep Average, France, FRA
13.199666, 2040-2059, csiro_mk3_6_0, Oct Average, France, FRA
8.868847, 2040-2059, csiro_mk3_6_0, Nov Average, France, FRA
5.872013, 2040-2059, csiro_mk3_6_0, Dec Average, France, FRA
5.9721355, 2040-2059, fio_esm, Jan Average, France, FRA
7.0456843, 2040-2059, fio_esm, Feb Average, France, FRA
7.997967, 2040-2059, fio_esm, Mar Average, France, FRA
9.70805, 2040-2059, fio_esm, Apr Average, France, FRA
12.927647, 2040-2059, fio_esm, May Average, France, FRA
16.103964, 2040-2059, fio_esm, Jun Average, France, FRA
18.465322, 2040-2059, fio_esm, Jul Average, France, FRA
17.49369, 2040-2059, fio_esm, Aug Average, France, FRA
15.254565, 2040-2059, fio_esm, Sep Average, France, FRA
12.031955, 2040-2059, fio_esm, Oct Average, France, FRA
9.135525, 2040-2059, fio_esm, Nov Average, France, FRA
7.121688, 2040-2059, fio_esm, Dec Average, France, FRA
6.8940163, 2040-2059, gfdl_cm3, Jan Average, France, FRA
7.0527215, 2040-2059, gfdl_cm3, Feb Average, France, FRA
8.039449, 2040-2059, gfdl_cm3, Mar Average, France, FRA
11.308627, 2040-2059, gfdl_cm3, Apr Average, France, FRA
14.241906, 2040-2059, gfdl_cm3, May Average, France, FRA
18.606752, 2040-2059, gfdl_cm3, Jun Average, France, FRA
22.763666, 2040-2059, gfdl_cm3, Jul Average, France, FRA
