Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
6.9616785, 2080-2099, bcc_csm1_1, Jan Average, France, FRA
6.7564006, 2080-2099, bcc_csm1_1, Feb Average, France, FRA
8.147781, 2080-2099, bcc_csm1_1, Mar Average, France, FRA
10.230856, 2080-2099, bcc_csm1_1, Apr Average, France, FRA
13.045601, 2080-2099, bcc_csm1_1, May Average, France, FRA
17.08658, 2080-2099, bcc_csm1_1, Jun Average, France, FRA
20.53876, 2080-2099, bcc_csm1_1, Jul Average, France, FRA
20.455393, 2080-2099, bcc_csm1_1, Aug Average, France, FRA
17.582455, 2080-2099, bcc_csm1_1, Sep Average, France, FRA
13.091776, 2080-2099, bcc_csm1_1, Oct Average, France, FRA
9.654598, 2080-2099, bcc_csm1_1, Nov Average, France, FRA
7.508674, 2080-2099, bcc_csm1_1, Dec Average, France, FRA
6.877726, 2080-2099, bcc_csm1_1_m, Jan Average, France, FRA
7.5443554, 2080-2099, bcc_csm1_1_m, Feb Average, France, FRA
8.425959, 2080-2099, bcc_csm1_1_m, Mar Average, France, FRA
10.645527, 2080-2099, bcc_csm1_1_m, Apr Average, France, FRA
14.689943, 2080-2099, bcc_csm1_1_m, May Average, France, FRA
18.360212, 2080-2099, bcc_csm1_1_m, Jun Average, France, FRA
21.36227, 2080-2099, bcc_csm1_1_m, Jul Average, France, FRA
22.723257, 2080-2099, bcc_csm1_1_m, Aug Average, France, FRA
18.956553, 2080-2099, bcc_csm1_1_m, Sep Average, France, FRA
13.549181, 2080-2099, bcc_csm1_1_m, Oct Average, France, FRA
9.612013, 2080-2099, bcc_csm1_1_m, Nov Average, France, FRA
7.9890814, 2080-2099, bcc_csm1_1_m, Dec Average, France, FRA
7.5687556, 2080-2099, ccsm4, Jan Average, France, FRA
7.8644934, 2080-2099, ccsm4, Feb Average, France, FRA
9.376853, 2080-2099, ccsm4, Mar Average, France, FRA
12.109746, 2080-2099, ccsm4, Apr Average, France, FRA
14.594994, 2080-2099, ccsm4, May Average, France, FRA
18.25524, 2080-2099, ccsm4, Jun Average, France, FRA
21.0618, 2080-2099, ccsm4, Jul Average, France, FRA
20.879562, 2080-2099, ccsm4, Aug Average, France, FRA
18.074738, 2080-2099, ccsm4, Sep Average, France, FRA
13.645778, 2080-2099, ccsm4, Oct Average, France, FRA
10.482868, 2080-2099, ccsm4, Nov Average, France, FRA
8.288981, 2080-2099, ccsm4, Dec Average, France, FRA
6.88741, 2080-2099, cesm1_cam5, Jan Average, France, FRA
7.2926903, 2080-2099, cesm1_cam5, Feb Average, France, FRA
9.111708, 2080-2099, cesm1_cam5, Mar Average, France, FRA
12.052653, 2080-2099, cesm1_cam5, Apr Average, France, FRA
15.272757, 2080-2099, cesm1_cam5, May Average, France, FRA
18.5471, 2080-2099, cesm1_cam5, Jun Average, France, FRA
20.945925, 2080-2099, cesm1_cam5, Jul Average, France, FRA
20.288095, 2080-2099, cesm1_cam5, Aug Average, France, FRA
17.391811, 2080-2099, cesm1_cam5, Sep Average, France, FRA
13.502356, 2080-2099, cesm1_cam5, Oct Average, France, FRA
10.406062, 2080-2099, cesm1_cam5, Nov Average, France, FRA
7.9974246, 2080-2099, cesm1_cam5, Dec Average, France, FRA
5.65261, 2080-2099, csiro_mk3_6_0, Jan Average, France, FRA
6.2543583, 2080-2099, csiro_mk3_6_0, Feb Average, France, FRA
7.33653, 2080-2099, csiro_mk3_6_0, Mar Average, France, FRA
