Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.8906979, 2040-2059, bcc_csm1_1, Jan Anomaly, France, FRA
1.0089458, 2040-2059, bcc_csm1_1, Feb Anomaly, France, FRA
1.768968, 2040-2059, bcc_csm1_1, Mar Anomaly, France, FRA
1.5722779, 2040-2059, bcc_csm1_1, Apr Anomaly, France, FRA
1.5997549, 2040-2059, bcc_csm1_1, May Anomaly, France, FRA
2.3327122, 2040-2059, bcc_csm1_1, Jun Anomaly, France, FRA
1.1596609, 2040-2059, bcc_csm1_1, Jul Anomaly, France, FRA
2.3570218, 2040-2059, bcc_csm1_1, Aug Anomaly, France, FRA
1.9636954, 2040-2059, bcc_csm1_1, Sep Anomaly, France, FRA
1.3767985, 2040-2059, bcc_csm1_1, Oct Anomaly, France, FRA
1.5470852, 2040-2059, bcc_csm1_1, Nov Anomaly, France, FRA
0.83765346, 2040-2059, bcc_csm1_1, Dec Anomaly, France, FRA
0.85023737, 2040-2059, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.4714428, 2040-2059, bcc_csm1_1_m, Feb Anomaly, France, FRA
1.0117395, 2040-2059, bcc_csm1_1_m, Mar Anomaly, France, FRA
1.082341, 2040-2059, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.53147745, 2040-2059, bcc_csm1_1_m, May Anomaly, France, FRA
2.5029418, 2040-2059, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.7787105, 2040-2059, bcc_csm1_1_m, Jul Anomaly, France, FRA
1.683506, 2040-2059, bcc_csm1_1_m, Aug Anomaly, France, FRA
2.512888, 2040-2059, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.4845539, 2040-2059, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.3885058, 2040-2059, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.1938113, 2040-2059, bcc_csm1_1_m, Dec Anomaly, France, FRA
1.1290162, 2040-2059, ccsm4, Jan Anomaly, France, FRA
1.7092322, 2040-2059, ccsm4, Feb Anomaly, France, FRA
1.2397921, 2040-2059, ccsm4, Mar Anomaly, France, FRA
1.1885054, 2040-2059, ccsm4, Apr Anomaly, France, FRA
1.4704304, 2040-2059, ccsm4, May Anomaly, France, FRA
2.1332455, 2040-2059, ccsm4, Jun Anomaly, France, FRA
1.8260698, 2040-2059, ccsm4, Jul Anomaly, France, FRA
2.7323787, 2040-2059, ccsm4, Aug Anomaly, France, FRA
1.7376424, 2040-2059, ccsm4, Sep Anomaly, France, FRA
0.7011698, 2040-2059, ccsm4, Oct Anomaly, France, FRA
1.243119, 2040-2059, ccsm4, Nov Anomaly, France, FRA
0.86604553, 2040-2059, ccsm4, Dec Anomaly, France, FRA
2.261193, 2040-2059, cesm1_cam5, Jan Anomaly, France, FRA
1.6390903, 2040-2059, cesm1_cam5, Feb Anomaly, France, FRA
1.416803, 2040-2059, cesm1_cam5, Mar Anomaly, France, FRA
1.5513111, 2040-2059, cesm1_cam5, Apr Anomaly, France, FRA
1.2945663, 2040-2059, cesm1_cam5, May Anomaly, France, FRA
1.6133277, 2040-2059, cesm1_cam5, Jun Anomaly, France, FRA
2.1564596, 2040-2059, cesm1_cam5, Jul Anomaly, France, FRA
2.0018127, 2040-2059, cesm1_cam5, Aug Anomaly, France, FRA
2.0568464, 2040-2059, cesm1_cam5, Sep Anomaly, France, FRA
1.5535157, 2040-2059, cesm1_cam5, Oct Anomaly, France, FRA
1.2235951, 2040-2059, cesm1_cam5, Nov Anomaly, France, FRA
1.5369692, 2040-2059, cesm1_cam5, Dec Anomaly, France, FRA
0.75505656, 2040-2059, csiro_mk3_6_0, Jan Anomaly, France, FRA
1.524569, 2040-2059, csiro_mk3_6_0, Feb Anomaly, France, FRA
0.5042216, 2040-2059, csiro_mk3_6_0, Mar Anomaly, France, FRA
0.029718978, 2040-2059, csiro_mk3_6_0, Apr Anomaly, France, FRA
1.3398333, 2040-2059, csiro_mk3_6_0, May Anomaly, France, FRA
1.3065013, 2040-2059, csiro_mk3_6_0, Jun Anomaly, France, FRA
2.8948398, 2040-2059, csiro_mk3_6_0, Jul Anomaly, France, FRA
2.86411, 2040-2059, csiro_mk3_6_0, Aug Anomaly, France, FRA
2.0379162, 2040-2059, csiro_mk3_6_0, Sep Anomaly, France, FRA
1.1438992, 2040-2059, csiro_mk3_6_0, Oct Anomaly, France, FRA
1.2120965, 2040-2059, csiro_mk3_6_0, Nov Anomaly, France, FRA
1.7764281, 2040-2059, csiro_mk3_6_0, Dec Anomaly, France, FRA
0.6918786, 2040-2059, fio_esm, Jan Anomaly, France, FRA
0.5023957, 2040-2059, fio_esm, Feb Anomaly, France, FRA
0.7117198, 2040-2059, fio_esm, Mar Anomaly, France, FRA
-0.3879443, 2040-2059, fio_esm, Apr Anomaly, France, FRA
0.4691043, 2040-2059, fio_esm, May Anomaly, France, FRA
0.16805072, 2040-2059, fio_esm, Jun Anomaly, France, FRA
0.6444432, 2040-2059, fio_esm, Jul Anomaly, France, FRA
