Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.46323073, 2040-2059, bcc_csm1_1, Jan Anomaly, France, FRA
0.8999041, 2040-2059, bcc_csm1_1, Feb Anomaly, France, FRA
0.3965893, 2040-2059, bcc_csm1_1, Mar Anomaly, France, FRA
1.8553828, 2040-2059, bcc_csm1_1, Apr Anomaly, France, FRA
1.0116764, 2040-2059, bcc_csm1_1, May Anomaly, France, FRA
1.5985817, 2040-2059, bcc_csm1_1, Jun Anomaly, France, FRA
0.72579, 2040-2059, bcc_csm1_1, Jul Anomaly, France, FRA
2.3118958, 2040-2059, bcc_csm1_1, Aug Anomaly, France, FRA
0.63223004, 2040-2059, bcc_csm1_1, Sep Anomaly, France, FRA
1.3952141, 2040-2059, bcc_csm1_1, Oct Anomaly, France, FRA
1.0951833, 2040-2059, bcc_csm1_1, Nov Anomaly, France, FRA
0.46336663, 2040-2059, bcc_csm1_1, Dec Anomaly, France, FRA
1.1081461, 2040-2059, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.6529875, 2040-2059, bcc_csm1_1_m, Feb Anomaly, France, FRA
0.95580995, 2040-2059, bcc_csm1_1_m, Mar Anomaly, France, FRA
0.4729671, 2040-2059, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.7684548, 2040-2059, bcc_csm1_1_m, May Anomaly, France, FRA
2.4250534, 2040-2059, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.284415, 2040-2059, bcc_csm1_1_m, Jul Anomaly, France, FRA
1.4017369, 2040-2059, bcc_csm1_1_m, Aug Anomaly, France, FRA
1.0241516, 2040-2059, bcc_csm1_1_m, Sep Anomaly, France, FRA
0.80697334, 2040-2059, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.250258, 2040-2059, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.104351, 2040-2059, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.9442744, 2040-2059, ccsm4, Jan Anomaly, France, FRA
1.7766294, 2040-2059, ccsm4, Feb Anomaly, France, FRA
1.6218551, 2040-2059, ccsm4, Mar Anomaly, France, FRA
1.745313, 2040-2059, ccsm4, Apr Anomaly, France, FRA
1.942194, 2040-2059, ccsm4, May Anomaly, France, FRA
2.5789459, 2040-2059, ccsm4, Jun Anomaly, France, FRA
2.2062306, 2040-2059, ccsm4, Jul Anomaly, France, FRA
2.8884401, 2040-2059, ccsm4, Aug Anomaly, France, FRA
1.7709198, 2040-2059, ccsm4, Sep Anomaly, France, FRA
0.9078664, 2040-2059, ccsm4, Oct Anomaly, France, FRA
1.0859656, 2040-2059, ccsm4, Nov Anomaly, France, FRA
1.4135449, 2040-2059, ccsm4, Dec Anomaly, France, FRA
1.7251985, 2040-2059, cesm1_cam5, Jan Anomaly, France, FRA
1.06255, 2040-2059, cesm1_cam5, Feb Anomaly, France, FRA
1.4290613, 2040-2059, cesm1_cam5, Mar Anomaly, France, FRA
1.6742258, 2040-2059, cesm1_cam5, Apr Anomaly, France, FRA
1.70694, 2040-2059, cesm1_cam5, May Anomaly, France, FRA
1.7154269, 2040-2059, cesm1_cam5, Jun Anomaly, France, FRA
1.9888244, 2040-2059, cesm1_cam5, Jul Anomaly, France, FRA
2.0311518, 2040-2059, cesm1_cam5, Aug Anomaly, France, FRA
2.0143452, 2040-2059, cesm1_cam5, Sep Anomaly, France, FRA
1.4432194, 2040-2059, cesm1_cam5, Oct Anomaly, France, FRA
1.7711971, 2040-2059, cesm1_cam5, Nov Anomaly, France, FRA
2.3890188, 2040-2059, cesm1_cam5, Dec Anomaly, France, FRA
1.1479884, 2040-2059, csiro_mk3_6_0, Jan Anomaly, France, FRA
0.8169306, 2040-2059, csiro_mk3_6_0, Feb Anomaly, France, FRA
1.077174, 2040-2059, csiro_mk3_6_0, Mar Anomaly, France, FRA
0.46035764, 2040-2059, csiro_mk3_6_0, Apr Anomaly, France, FRA
2.1084464, 2040-2059, csiro_mk3_6_0, May Anomaly, France, FRA
1.95421, 2040-2059, csiro_mk3_6_0, Jun Anomaly, France, FRA
2.6780117, 2040-2059, csiro_mk3_6_0, Jul Anomaly, France, FRA
2.7064705, 2040-2059, csiro_mk3_6_0, Aug Anomaly, France, FRA
2.6908345, 2040-2059, csiro_mk3_6_0, Sep Anomaly, France, FRA
2.3181975, 2040-2059, csiro_mk3_6_0, Oct Anomaly, France, FRA
2.0986743, 2040-2059, csiro_mk3_6_0, Nov Anomaly, France, FRA
1.5033444, 2040-2059, csiro_mk3_6_0, Dec Anomaly, France, FRA
0.8838794, 2040-2059, fio_esm, Jan Anomaly, France, FRA
-0.08325803, 2040-2059, fio_esm, Feb Anomaly, France, FRA
0.66359484, 2040-2059, fio_esm, Mar Anomaly, France, FRA
0.038996857, 2040-2059, fio_esm, Apr Anomaly, France, FRA
0.78158206, 2040-2059, fio_esm, May Anomaly, France, FRA
0.42305687, 2040-2059, fio_esm, Jun Anomaly, France, FRA
0.9176334, 2040-2059, fio_esm, Jul Anomaly, France, FRA
0.038061142, 2040-2059, fio_esm, Aug Anomaly, France, FRA
0.72546464, 2040-2059, fio_esm, Sep Anomaly, France, FRA
0.39075792, 2040-2059, fio_esm, Oct Anomaly, France, FRA
0.029554557, 2040-2059, fio_esm, Nov Anomaly, France, FRA
-0.4366316, 2040-2059, fio_esm, Dec Anomaly, France, FRA
2.1516564, 2040-2059, gfdl_cm3, Jan Anomaly, France, FRA
1.8222911, 2040-2059, gfdl_cm3, Feb Anomaly, France, FRA
2.8809755, 2040-2059, gfdl_cm3, Mar Anomaly, France, FRA
1.4566166, 2040-2059, gfdl_cm3, Apr Anomaly, France, FRA
1.8619099, 2040-2059, gfdl_cm3, May Anomaly, France, FRA
3.7329144, 2040-2059, gfdl_cm3, Jun Anomaly, France, FRA
5.1305914, 2040-2059, gfdl_cm3, Jul Anomaly, France, FRA
4.608671, 2040-2059, gfdl_cm3, Aug Anomaly, France, FRA
3.1403258, 2040-2059, gfdl_cm3, Sep Anomaly, France, FRA
2.8654163, 2040-2059, gfdl_cm3, Oct Anomaly, France, FRA
2.4349568, 2040-2059, gfdl_cm3, Nov Anomaly, France, FRA
2.052723, 2040-2059, gfdl_cm3, Dec Anomaly, France, FRA
1.0841532, 2040-2059, gfdl_esm2m, Jan Anomaly, France, FRA
1.2230154, 2040-2059, gfdl_esm2m, Feb Anomaly, France, FRA
0.28620732, 2040-2059, gfdl_esm2m, Mar Anomaly, France, FRA
1.3313643, 2040-2059, gfdl_esm2m, Apr Anomaly, France, FRA
0.1664952, 2040-2059, gfdl_esm2m, May Anomaly, France, FRA
1.00028, 2040-2059, gfdl_esm2m, Jun Anomaly, France, FRA
1.769253, 2040-2059, gfdl_esm2m, Jul Anomaly, France, FRA
2.1044338, 2040-2059, gfdl_esm2m, Aug Anomaly, France, FRA
1.207515, 2040-2059, gfdl_esm2m, Sep Anomaly, France, FRA
1.3260745, 2040-2059, gfdl_esm2m, Oct Anomaly, France, FRA
1.0392709, 2040-2059, gfdl_esm2m, Nov Anomaly, France, FRA
0.65833706, 2040-2059, gfdl_esm2m, Dec Anomaly, France, FRA
0.8428404, 2040-2059, giss_e2_h, Jan Anomaly, France, FRA
2.6809254, 2040-2059, giss_e2_h, Feb Anomaly, France, FRA
2.587066, 2040-2059, giss_e2_h, Mar Anomaly, France, FRA
