Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.42862955, 2020-2039, bcc_csm1_1, Jan Anomaly, France, FRA
0.6264117, 2020-2039, bcc_csm1_1, Feb Anomaly, France, FRA
0.6656723, 2020-2039, bcc_csm1_1, Mar Anomaly, France, FRA
0.66097385, 2020-2039, bcc_csm1_1, Apr Anomaly, France, FRA
1.0085176, 2020-2039, bcc_csm1_1, May Anomaly, France, FRA
1.845664, 2020-2039, bcc_csm1_1, Jun Anomaly, France, FRA
1.3722224, 2020-2039, bcc_csm1_1, Jul Anomaly, France, FRA
2.3531733, 2020-2039, bcc_csm1_1, Aug Anomaly, France, FRA
1.1953596, 2020-2039, bcc_csm1_1, Sep Anomaly, France, FRA
0.57209826, 2020-2039, bcc_csm1_1, Oct Anomaly, France, FRA
0.83435315, 2020-2039, bcc_csm1_1, Nov Anomaly, France, FRA
0.91888165, 2020-2039, bcc_csm1_1, Dec Anomaly, France, FRA
0.9998802, 2020-2039, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.9077465, 2020-2039, bcc_csm1_1_m, Feb Anomaly, France, FRA
0.8572991, 2020-2039, bcc_csm1_1_m, Mar Anomaly, France, FRA
0.7453474, 2020-2039, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.3382473, 2020-2039, bcc_csm1_1_m, May Anomaly, France, FRA
1.3086869, 2020-2039, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.2683369, 2020-2039, bcc_csm1_1_m, Jul Anomaly, France, FRA
0.8793512, 2020-2039, bcc_csm1_1_m, Aug Anomaly, France, FRA
1.9675634, 2020-2039, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.2086889, 2020-2039, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.4919754, 2020-2039, bcc_csm1_1_m, Nov Anomaly, France, FRA
0.87432575, 2020-2039, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.3436943, 2020-2039, ccsm4, Jan Anomaly, France, FRA
1.2922693, 2020-2039, ccsm4, Feb Anomaly, France, FRA
1.2046651, 2020-2039, ccsm4, Mar Anomaly, France, FRA
0.8772036, 2020-2039, ccsm4, Apr Anomaly, France, FRA
1.5310248, 2020-2039, ccsm4, May Anomaly, France, FRA
1.3516457, 2020-2039, ccsm4, Jun Anomaly, France, FRA
1.9832144, 2020-2039, ccsm4, Jul Anomaly, France, FRA
2.2578225, 2020-2039, ccsm4, Aug Anomaly, France, FRA
1.7412353, 2020-2039, ccsm4, Sep Anomaly, France, FRA
0.97250485, 2020-2039, ccsm4, Oct Anomaly, France, FRA
0.82892126, 2020-2039, ccsm4, Nov Anomaly, France, FRA
0.8272563, 2020-2039, ccsm4, Dec Anomaly, France, FRA
1.2515812, 2020-2039, cesm1_cam5, Jan Anomaly, France, FRA
0.8390837, 2020-2039, cesm1_cam5, Feb Anomaly, France, FRA
1.2021425, 2020-2039, cesm1_cam5, Mar Anomaly, France, FRA
1.356747, 2020-2039, cesm1_cam5, Apr Anomaly, France, FRA
1.2214934, 2020-2039, cesm1_cam5, May Anomaly, France, FRA
1.2162212, 2020-2039, cesm1_cam5, Jun Anomaly, France, FRA
1.9026146, 2020-2039, cesm1_cam5, Jul Anomaly, France, FRA
1.9486177, 2020-2039, cesm1_cam5, Aug Anomaly, France, FRA
1.7535646, 2020-2039, cesm1_cam5, Sep Anomaly, France, FRA
1.0747726, 2020-2039, cesm1_cam5, Oct Anomaly, France, FRA
1.5813597, 2020-2039, cesm1_cam5, Nov Anomaly, France, FRA
1.1211786, 2020-2039, cesm1_cam5, Dec Anomaly, France, FRA
0.013954872, 2020-2039, csiro_mk3_6_0, Jan Anomaly, France, FRA
0.83411986, 2020-2039, csiro_mk3_6_0, Feb Anomaly, France, FRA
0.3030283, 2020-2039, csiro_mk3_6_0, Mar Anomaly, France, FRA
-0.18908982, 2020-2039, csiro_mk3_6_0, Apr Anomaly, France, FRA
0.55905175, 2020-2039, csiro_mk3_6_0, May Anomaly, France, FRA
1.792868, 2020-2039, csiro_mk3_6_0, Jun Anomaly, France, FRA
