Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
6.3325815, 2060-2079, bcc_csm1_1, Jan Average, France, FRA
5.9817824, 2060-2079, bcc_csm1_1, Feb Average, France, FRA
8.014572, 2060-2079, bcc_csm1_1, Mar Average, France, FRA
9.845404, 2060-2079, bcc_csm1_1, Apr Average, France, FRA
12.768451, 2060-2079, bcc_csm1_1, May Average, France, FRA
16.780476, 2060-2079, bcc_csm1_1, Jun Average, France, FRA
20.190842, 2060-2079, bcc_csm1_1, Jul Average, France, FRA
21.128347, 2060-2079, bcc_csm1_1, Aug Average, France, FRA
18.233477, 2060-2079, bcc_csm1_1, Sep Average, France, FRA
13.526712, 2060-2079, bcc_csm1_1, Oct Average, France, FRA
10.2374735, 2060-2079, bcc_csm1_1, Nov Average, France, FRA
7.8955727, 2060-2079, bcc_csm1_1, Dec Average, France, FRA
7.141548, 2060-2079, bcc_csm1_1_m, Jan Average, France, FRA
7.7465324, 2060-2079, bcc_csm1_1_m, Feb Average, France, FRA
8.635623, 2060-2079, bcc_csm1_1_m, Mar Average, France, FRA
10.377835, 2060-2079, bcc_csm1_1_m, Apr Average, France, FRA
13.496238, 2060-2079, bcc_csm1_1_m, May Average, France, FRA
18.051798, 2060-2079, bcc_csm1_1_m, Jun Average, France, FRA
21.106693, 2060-2079, bcc_csm1_1_m, Jul Average, France, FRA
22.305962, 2060-2079, bcc_csm1_1_m, Aug Average, France, FRA
18.61074, 2060-2079, bcc_csm1_1_m, Sep Average, France, FRA
13.632512, 2060-2079, bcc_csm1_1_m, Oct Average, France, FRA
10.22414, 2060-2079, bcc_csm1_1_m, Nov Average, France, FRA
7.718695, 2060-2079, bcc_csm1_1_m, Dec Average, France, FRA
7.474923, 2060-2079, ccsm4, Jan Average, France, FRA
7.4114065, 2060-2079, ccsm4, Feb Average, France, FRA
9.369096, 2060-2079, ccsm4, Mar Average, France, FRA
11.766004, 2060-2079, ccsm4, Apr Average, France, FRA
15.228978, 2060-2079, ccsm4, May Average, France, FRA
18.993034, 2060-2079, ccsm4, Jun Average, France, FRA
21.213001, 2060-2079, ccsm4, Jul Average, France, FRA
21.048452, 2060-2079, ccsm4, Aug Average, France, FRA
17.69647, 2060-2079, ccsm4, Sep Average, France, FRA
13.629411, 2060-2079, ccsm4, Oct Average, France, FRA
10.559617, 2060-2079, ccsm4, Nov Average, France, FRA
8.029092, 2060-2079, ccsm4, Dec Average, France, FRA
6.5028086, 2060-2079, cesm1_cam5, Jan Average, France, FRA
6.9149127, 2060-2079, cesm1_cam5, Feb Average, France, FRA
8.737436, 2060-2079, cesm1_cam5, Mar Average, France, FRA
11.159578, 2060-2079, cesm1_cam5, Apr Average, France, FRA
14.926049, 2060-2079, cesm1_cam5, May Average, France, FRA
18.504416, 2060-2079, cesm1_cam5, Jun Average, France, FRA
20.880774, 2060-2079, cesm1_cam5, Jul Average, France, FRA
19.969584, 2060-2079, cesm1_cam5, Aug Average, France, FRA
17.147854, 2060-2079, cesm1_cam5, Sep Average, France, FRA
13.413656, 2060-2079, cesm1_cam5, Oct Average, France, FRA
10.197348, 2060-2079, cesm1_cam5, Nov Average, France, FRA
8.127135, 2060-2079, cesm1_cam5, Dec Average, France, FRA
5.166387, 2060-2079, csiro_mk3_6_0, Jan Average, France, FRA
4.649563, 2060-2079, csiro_mk3_6_0, Feb Average, France, FRA
6.2245135, 2060-2079, csiro_mk3_6_0, Mar Average, France, FRA
9.314144, 2060-2079, csiro_mk3_6_0, Apr Average, France, FRA
13.807963, 2060-2079, csiro_mk3_6_0, May Average, France, FRA
19.378271, 2060-2079, csiro_mk3_6_0, Jun Average, France, FRA
22.863594, 2060-2079, csiro_mk3_6_0, Jul Average, France, FRA
23.010971, 2060-2079, csiro_mk3_6_0, Aug Average, France, FRA
18.71918, 2060-2079, csiro_mk3_6_0, Sep Average, France, FRA
12.086663, 2060-2079, csiro_mk3_6_0, Oct Average, France, FRA
8.410208, 2060-2079, csiro_mk3_6_0, Nov Average, France, FRA
6.0662, 2060-2079, csiro_mk3_6_0, Dec Average, France, FRA
5.7154894, 2060-2079, fio_esm, Jan Average, France, FRA
6.3564916, 2060-2079, fio_esm, Feb Average, France, FRA
7.229874, 2060-2079, fio_esm, Mar Average, France, FRA
9.391349, 2060-2079, fio_esm, Apr Average, France, FRA
12.106724, 2060-2079, fio_esm, May Average, France, FRA
15.813969, 2060-2079, fio_esm, Jun Average, France, FRA
18.353111, 2060-2079, fio_esm, Jul Average, France, FRA
17.557611, 2060-2079, fio_esm, Aug Average, France, FRA
