Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.62667483, 2040-2059, bcc_csm1_1, Jan Anomaly, France, FRA
0.61936486, 2040-2059, bcc_csm1_1, Feb Anomaly, France, FRA
0.68386257, 2040-2059, bcc_csm1_1, Mar Anomaly, France, FRA
0.6060992, 2040-2059, bcc_csm1_1, Apr Anomaly, France, FRA
0.97924525, 2040-2059, bcc_csm1_1, May Anomaly, France, FRA
1.721561, 2040-2059, bcc_csm1_1, Jun Anomaly, France, FRA
2.0951307, 2040-2059, bcc_csm1_1, Jul Anomaly, France, FRA
1.4934556, 2040-2059, bcc_csm1_1, Aug Anomaly, France, FRA
0.65569097, 2040-2059, bcc_csm1_1, Sep Anomaly, France, FRA
0.6443976, 2040-2059, bcc_csm1_1, Oct Anomaly, France, FRA
0.32285023, 2040-2059, bcc_csm1_1, Nov Anomaly, France, FRA
0.29953468, 2040-2059, bcc_csm1_1, Dec Anomaly, France, FRA
0.7972577, 2040-2059, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.83786845, 2040-2059, bcc_csm1_1_m, Feb Anomaly, France, FRA
0.5631936, 2040-2059, bcc_csm1_1_m, Mar Anomaly, France, FRA
0.90288854, 2040-2059, bcc_csm1_1_m, Apr Anomaly, France, FRA
1.0287462, 2040-2059, bcc_csm1_1_m, May Anomaly, France, FRA
1.9192057, 2040-2059, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.7441139, 2040-2059, bcc_csm1_1_m, Jul Anomaly, France, FRA
1.5398915, 2040-2059, bcc_csm1_1_m, Aug Anomaly, France, FRA
2.467721, 2040-2059, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.3696036, 2040-2059, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.2917857, 2040-2059, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.1657581, 2040-2059, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.62510586, 2040-2059, ccsm4, Jan Anomaly, France, FRA
1.790953, 2040-2059, ccsm4, Feb Anomaly, France, FRA
0.9997608, 2040-2059, ccsm4, Mar Anomaly, France, FRA
0.9330911, 2040-2059, ccsm4, Apr Anomaly, France, FRA
1.5081567, 2040-2059, ccsm4, May Anomaly, France, FRA
1.5049312, 2040-2059, ccsm4, Jun Anomaly, France, FRA
1.2003565, 2040-2059, ccsm4, Jul Anomaly, France, FRA
2.127565, 2040-2059, ccsm4, Aug Anomaly, France, FRA
1.3522096, 2040-2059, ccsm4, Sep Anomaly, France, FRA
0.4426909, 2040-2059, ccsm4, Oct Anomaly, France, FRA
1.3960438, 2040-2059, ccsm4, Nov Anomaly, France, FRA
1.1202934, 2040-2059, ccsm4, Dec Anomaly, France, FRA
2.0739567, 2040-2059, cesm1_cam5, Jan Anomaly, France, FRA
1.6284965, 2040-2059, cesm1_cam5, Feb Anomaly, France, FRA
1.2488663, 2040-2059, cesm1_cam5, Mar Anomaly, France, FRA
