Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.4022245, 2020-2039, bcc_csm1_1, Jan Anomaly, France, FRA
0.20104451, 2020-2039, bcc_csm1_1, Feb Anomaly, France, FRA
0.5172263, 2020-2039, bcc_csm1_1, Mar Anomaly, France, FRA
0.9673086, 2020-2039, bcc_csm1_1, Apr Anomaly, France, FRA
0.665135, 2020-2039, bcc_csm1_1, May Anomaly, France, FRA
1.5117252, 2020-2039, bcc_csm1_1, Jun Anomaly, France, FRA
1.5137724, 2020-2039, bcc_csm1_1, Jul Anomaly, France, FRA
1.6447084, 2020-2039, bcc_csm1_1, Aug Anomaly, France, FRA
0.45461497, 2020-2039, bcc_csm1_1, Sep Anomaly, France, FRA
0.3859272, 2020-2039, bcc_csm1_1, Oct Anomaly, France, FRA
0.64292866, 2020-2039, bcc_csm1_1, Nov Anomaly, France, FRA
0.31431973, 2020-2039, bcc_csm1_1, Dec Anomaly, France, FRA
0.3349416, 2020-2039, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.25483826, 2020-2039, bcc_csm1_1_m, Feb Anomaly, France, FRA
0.29601526, 2020-2039, bcc_csm1_1_m, Mar Anomaly, France, FRA
-0.07261635, 2020-2039, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.27547744, 2020-2039, bcc_csm1_1_m, May Anomaly, France, FRA
2.6210608, 2020-2039, bcc_csm1_1_m, Jun Anomaly, France, FRA
0.7828899, 2020-2039, bcc_csm1_1_m, Jul Anomaly, France, FRA
0.3962772, 2020-2039, bcc_csm1_1_m, Aug Anomaly, France, FRA
1.375298, 2020-2039, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.0308981, 2020-2039, bcc_csm1_1_m, Oct Anomaly, France, FRA
0.95826423, 2020-2039, bcc_csm1_1_m, Nov Anomaly, France, FRA
0.5266554, 2020-2039, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.16601215, 2020-2039, ccsm4, Jan Anomaly, France, FRA
1.4641505, 2020-2039, ccsm4, Feb Anomaly, France, FRA
1.066164, 2020-2039, ccsm4, Mar Anomaly, France, FRA
0.95808697, 2020-2039, ccsm4, Apr Anomaly, France, FRA
1.2725719, 2020-2039, ccsm4, May Anomaly, France, FRA
1.5613157, 2020-2039, ccsm4, Jun Anomaly, France, FRA
1.1131703, 2020-2039, ccsm4, Jul Anomaly, France, FRA
1.9683576, 2020-2039, ccsm4, Aug Anomaly, France, FRA
1.0271966, 2020-2039, ccsm4, Sep Anomaly, France, FRA
0.28994954, 2020-2039, ccsm4, Oct Anomaly, France, FRA
0.44320068, 2020-2039, ccsm4, Nov Anomaly, France, FRA
0.6626425, 2020-2039, ccsm4, Dec Anomaly, France, FRA
0.5254998, 2020-2039, cesm1_cam5, Jan Anomaly, France, FRA
0.4894952, 2020-2039, cesm1_cam5, Feb Anomaly, France, FRA
0.7377279, 2020-2039, cesm1_cam5, Mar Anomaly, France, FRA
0.78784764, 2020-2039, cesm1_cam5, Apr Anomaly, France, FRA
0.54226905, 2020-2039, cesm1_cam5, May Anomaly, France, FRA
0.99110705, 2020-2039, cesm1_cam5, Jun Anomaly, France, FRA
0.99477, 2020-2039, cesm1_cam5, Jul Anomaly, France, FRA
1.0872536, 2020-2039, cesm1_cam5, Aug Anomaly, France, FRA
1.152943, 2020-2039, cesm1_cam5, Sep Anomaly, France, FRA
1.073406, 2020-2039, cesm1_cam5, Oct Anomaly, France, FRA
0.77518564, 2020-2039, cesm1_cam5, Nov Anomaly, France, FRA
1.1379786, 2020-2039, cesm1_cam5, Dec Anomaly, France, FRA
-0.23817606, 2020-2039, csiro_mk3_6_0, Jan Anomaly, France, FRA
-0.15228334, 2020-2039, csiro_mk3_6_0, Feb Anomaly, France, FRA
-0.50198096, 2020-2039, csiro_mk3_6_0, Mar Anomaly, France, FRA
-0.3523519, 2020-2039, csiro_mk3_6_0, Apr Anomaly, France, FRA
0.4014165, 2020-2039, csiro_mk3_6_0, May Anomaly, France, FRA
1.2117518, 2020-2039, csiro_mk3_6_0, Jun Anomaly, France, FRA
1.3238006, 2020-2039, csiro_mk3_6_0, Jul Anomaly, France, FRA
1.4206755, 2020-2039, csiro_mk3_6_0, Aug Anomaly, France, FRA
0.55830365, 2020-2039, csiro_mk3_6_0, Sep Anomaly, France, FRA
0.19512244, 2020-2039, csiro_mk3_6_0, Oct Anomaly, France, FRA
0.755238, 2020-2039, csiro_mk3_6_0, Nov Anomaly, France, FRA
0.62846875, 2020-2039, csiro_mk3_6_0, Dec Anomaly, France, FRA
1.0471584, 2020-2039, fio_esm, Jan Anomaly, France, FRA
0.34720966, 2020-2039, fio_esm, Feb Anomaly, France, FRA
0.8217002, 2020-2039, fio_esm, Mar Anomaly, France, FRA
0.12640008, 2020-2039, fio_esm, Apr Anomaly, France, FRA
0.5426077, 2020-2039, fio_esm, May Anomaly, France, FRA
0.6428776, 2020-2039, fio_esm, Jun Anomaly, France, FRA
0.49549603, 2020-2039, fio_esm, Jul Anomaly, France, FRA
-0.16913769, 2020-2039, fio_esm, Aug Anomaly, France, FRA
0.5928269, 2020-2039, fio_esm, Sep Anomaly, France, FRA
0.5062487, 2020-2039, fio_esm, Oct Anomaly, France, FRA
0.48490652, 2020-2039, fio_esm, Nov Anomaly, France, FRA
0.38541344, 2020-2039, fio_esm, Dec Anomaly, France, FRA
1.3736234, 2020-2039, gfdl_cm3, Jan Anomaly, France, FRA
0.9694636, 2020-2039, gfdl_cm3, Feb Anomaly, France, FRA
0.93303317, 2020-2039, gfdl_cm3, Mar Anomaly, France, FRA
0.9912672, 2020-2039, gfdl_cm3, Apr Anomaly, France, FRA
1.1820542, 2020-2039, gfdl_cm3, May Anomaly, France, FRA
2.259039, 2020-2039, gfdl_cm3, Jun Anomaly, France, FRA
3.0159137, 2020-2039, gfdl_cm3, Jul Anomaly, France, FRA
2.649097, 2020-2039, gfdl_cm3, Aug Anomaly, France, FRA
2.447143, 2020-2039, gfdl_cm3, Sep Anomaly, France, FRA
2.501314, 2020-2039, gfdl_cm3, Oct Anomaly, France, FRA
2.1543057, 2020-2039, gfdl_cm3, Nov Anomaly, France, FRA
1.3517003, 2020-2039, gfdl_cm3, Dec Anomaly, France, FRA
1.4238067, 2020-2039, gfdl_esm2m, Jan Anomaly, France, FRA
0.015096076, 2020-2039, gfdl_esm2m, Feb Anomaly, France, FRA
0.025700819, 2020-2039, gfdl_esm2m, Mar Anomaly, France, FRA
0.767785, 2020-2039, gfdl_esm2m, Apr Anomaly, France, FRA
0.053128902, 2020-2039, gfdl_esm2m, May Anomaly, France, FRA
0.75167096, 2020-2039, gfdl_esm2m, Jun Anomaly, France, FRA
1.1164631, 2020-2039, gfdl_esm2m, Jul Anomaly, France, FRA
1.531683, 2020-2039, gfdl_esm2m, Aug Anomaly, France, FRA
1.2486105, 2020-2039, gfdl_esm2m, Sep Anomaly, France, FRA
0.88370943, 2020-2039, gfdl_esm2m, Oct Anomaly, France, FRA
0.46171218, 2020-2039, gfdl_esm2m, Nov Anomaly, France, FRA
0.032493297, 2020-2039, gfdl_esm2m, Dec Anomaly, France, FRA
0.6275015, 2020-2039, giss_e2_h, Jan Anomaly, France, FRA
2.1756895, 2020-2039, giss_e2_h, Feb Anomaly, France, FRA
