Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.8674991, 2060-2079, bcc_csm1_1, Jan Anomaly, France, FRA
1.5192018, 2060-2079, bcc_csm1_1, Feb Anomaly, France, FRA
1.7096002, 2060-2079, bcc_csm1_1, Mar Anomaly, France, FRA
1.7884796, 2060-2079, bcc_csm1_1, Apr Anomaly, France, FRA
1.9063617, 2060-2079, bcc_csm1_1, May Anomaly, France, FRA
2.9162347, 2060-2079, bcc_csm1_1, Jun Anomaly, France, FRA
3.765205, 2060-2079, bcc_csm1_1, Jul Anomaly, France, FRA
3.6080763, 2060-2079, bcc_csm1_1, Aug Anomaly, France, FRA
2.276081, 2060-2079, bcc_csm1_1, Sep Anomaly, France, FRA
1.2355922, 2060-2079, bcc_csm1_1, Oct Anomaly, France, FRA
1.6792357, 2060-2079, bcc_csm1_1, Nov Anomaly, France, FRA
1.9547563, 2060-2079, bcc_csm1_1, Dec Anomaly, France, FRA
1.4586781, 2060-2079, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.6845651, 2060-2079, bcc_csm1_1_m, Feb Anomaly, France, FRA
1.848109, 2060-2079, bcc_csm1_1_m, Mar Anomaly, France, FRA
1.1180977, 2060-2079, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.8090732, 2060-2079, bcc_csm1_1_m, May Anomaly, France, FRA
2.0112793, 2060-2079, bcc_csm1_1_m, Jun Anomaly, France, FRA
2.281279, 2060-2079, bcc_csm1_1_m, Jul Anomaly, France, FRA
2.5779479, 2060-2079, bcc_csm1_1_m, Aug Anomaly, France, FRA
3.0011973, 2060-2079, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.6431708, 2060-2079, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.7069353, 2060-2079, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.46054, 2060-2079, bcc_csm1_1_m, Dec Anomaly, France, FRA
1.1161869, 2060-2079, ccsm4, Jan Anomaly, France, FRA
1.3737167, 2060-2079, ccsm4, Feb Anomaly, France, FRA
1.743723, 2060-2079, ccsm4, Mar Anomaly, France, FRA
1.6917654, 2060-2079, ccsm4, Apr Anomaly, France, FRA
1.8824174, 2060-2079, ccsm4, May Anomaly, France, FRA
2.4760857, 2060-2079, ccsm4, Jun Anomaly, France, FRA
2.1697872, 2060-2079, ccsm4, Jul Anomaly, France, FRA
2.5917234, 2060-2079, ccsm4, Aug Anomaly, France, FRA
2.42443, 2060-2079, ccsm4, Sep Anomaly, France, FRA
0.9715989, 2060-2079, ccsm4, Oct Anomaly, France, FRA
1.1012307, 2060-2079, ccsm4, Nov Anomaly, France, FRA
1.192043, 2060-2079, ccsm4, Dec Anomaly, France, FRA
2.4767528, 2060-2079, cesm1_cam5, Jan Anomaly, France, FRA
2.38791, 2060-2079, cesm1_cam5, Feb Anomaly, France, FRA
1.9114971, 2060-2079, cesm1_cam5, Mar Anomaly, France, FRA
2.2999303, 2060-2079, cesm1_cam5, Apr Anomaly, France, FRA
2.120967, 2060-2079, cesm1_cam5, May Anomaly, France, FRA
2.2472546, 2060-2079, cesm1_cam5, Jun Anomaly, France, FRA
2.8941793, 2060-2079, cesm1_cam5, Jul Anomaly, France, FRA
3.0699146, 2060-2079, cesm1_cam5, Aug Anomaly, France, FRA
2.7855241, 2060-2079, cesm1_cam5, Sep Anomaly, France, FRA
1.9596817, 2060-2079, cesm1_cam5, Oct Anomaly, France, FRA
1.8655404, 2060-2079, cesm1_cam5, Nov Anomaly, France, FRA
1.9575478, 2060-2079, cesm1_cam5, Dec Anomaly, France, FRA
0.7145709, 2060-2079, csiro_mk3_6_0, Jan Anomaly, France, FRA
1.5094993, 2060-2079, csiro_mk3_6_0, Feb Anomaly, France, FRA
