Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
6.453377, 2020-2039, bcc_csm1_1, Jan Average, France, FRA
6.5813713, 2020-2039, bcc_csm1_1, Feb Average, France, FRA
7.9807076, 2020-2039, bcc_csm1_1, Mar Average, France, FRA
9.804885, 2020-2039, bcc_csm1_1, Apr Average, France, FRA
12.30356, 2020-2039, bcc_csm1_1, May Average, France, FRA
17.70765, 2020-2039, bcc_csm1_1, Jun Average, France, FRA
21.110794, 2020-2039, bcc_csm1_1, Jul Average, France, FRA
20.873684, 2020-2039, bcc_csm1_1, Aug Average, France, FRA
17.69702, 2020-2039, bcc_csm1_1, Sep Average, France, FRA
12.794512, 2020-2039, bcc_csm1_1, Oct Average, France, FRA
9.517334, 2020-2039, bcc_csm1_1, Nov Average, France, FRA
7.667347, 2020-2039, bcc_csm1_1, Dec Average, France, FRA
6.6435757, 2020-2039, bcc_csm1_1_m, Jan Average, France, FRA
7.1526337, 2020-2039, bcc_csm1_1_m, Feb Average, France, FRA
8.572307, 2020-2039, bcc_csm1_1_m, Mar Average, France, FRA
11.344946, 2020-2039, bcc_csm1_1_m, Apr Average, France, FRA
14.649573, 2020-2039, bcc_csm1_1_m, May Average, France, FRA
19.163963, 2020-2039, bcc_csm1_1_m, Jun Average, France, FRA
21.076248, 2020-2039, bcc_csm1_1_m, Jul Average, France, FRA
21.724098, 2020-2039, bcc_csm1_1_m, Aug Average, France, FRA
17.74335, 2020-2039, bcc_csm1_1_m, Sep Average, France, FRA
13.247726, 2020-2039, bcc_csm1_1_m, Oct Average, France, FRA
9.421533, 2020-2039, bcc_csm1_1_m, Nov Average, France, FRA
7.858914, 2020-2039, bcc_csm1_1_m, Dec Average, France, FRA
6.6290064, 2020-2039, ccsm4, Jan Average, France, FRA
7.7446847, 2020-2039, ccsm4, Feb Average, France, FRA
8.588665, 2020-2039, ccsm4, Mar Average, France, FRA
11.303756, 2020-2039, ccsm4, Apr Average, France, FRA
14.40534, 2020-2039, ccsm4, May Average, France, FRA
18.429977, 2020-2039, ccsm4, Jun Average, France, FRA
20.56259, 2020-2039, ccsm4, Jul Average, France, FRA
20.659601, 2020-2039, ccsm4, Aug Average, France, FRA
17.583061, 2020-2039, ccsm4, Sep Average, France, FRA
13.386959, 2020-2039, ccsm4, Oct Average, France, FRA
10.752884, 2020-2039, ccsm4, Nov Average, France, FRA
7.735692, 2020-2039, ccsm4, Dec Average, France, FRA
5.7889595, 2020-2039, cesm1_cam5, Jan Average, France, FRA
7.081178, 2020-2039, cesm1_cam5, Feb Average, France, FRA
8.630203, 2020-2039, cesm1_cam5, Mar Average, France, FRA
10.473061, 2020-2039, cesm1_cam5, Apr Average, France, FRA
14.444314, 2020-2039, cesm1_cam5, May Average, France, FRA
17.879612, 2020-2039, cesm1_cam5, Jun Average, France, FRA
19.991184, 2020-2039, cesm1_cam5, Jul Average, France, FRA
19.31468, 2020-2039, cesm1_cam5, Aug Average, France, FRA
16.75812, 2020-2039, cesm1_cam5, Sep Average, France, FRA
13.374063, 2020-2039, cesm1_cam5, Oct Average, France, FRA
9.630641, 2020-2039, cesm1_cam5, Nov Average, France, FRA
7.1839104, 2020-2039, cesm1_cam5, Dec Average, France, FRA
5.242086, 2020-2039, csiro_mk3_6_0, Jan Average, France, FRA
5.6743174, 2020-2039, csiro_mk3_6_0, Feb Average, France, FRA
6.3021894, 2020-2039, csiro_mk3_6_0, Mar Average, France, FRA
9.205833, 2020-2039, csiro_mk3_6_0, Apr Average, France, FRA
13.724556, 2020-2039, csiro_mk3_6_0, May Average, France, FRA
19.084324, 2020-2039, csiro_mk3_6_0, Jun Average, France, FRA
22.69857, 2020-2039, csiro_mk3_6_0, Jul Average, France, FRA
22.501247, 2020-2039, csiro_mk3_6_0, Aug Average, France, FRA
18.550913, 2020-2039, csiro_mk3_6_0, Sep Average, France, FRA
12.389453, 2020-2039, csiro_mk3_6_0, Oct Average, France, FRA
8.138593, 2020-2039, csiro_mk3_6_0, Nov Average, France, FRA
6.484077, 2020-2039, csiro_mk3_6_0, Dec Average, France, FRA
7.137313, 2020-2039, fio_esm, Jan Average, France, FRA
6.989905, 2020-2039, fio_esm, Feb Average, France, FRA
8.399261, 2020-2039, fio_esm, Mar Average, France, FRA
10.293428, 2020-2039, fio_esm, Apr Average, France, FRA
12.927776, 2020-2039, fio_esm, May Average, France, FRA
16.841024, 2020-2039, fio_esm, Jun Average, France, FRA
18.291275, 2020-2039, fio_esm, Jul Average, France, FRA
18.335533, 2020-2039, fio_esm, Aug Average, France, FRA
15.705186, 2020-2039, fio_esm, Sep Average, France, FRA
12.43188, 2020-2039, fio_esm, Oct Average, France, FRA
9.818938, 2020-2039, fio_esm, Nov Average, France, FRA
8.05976, 2020-2039, fio_esm, Dec Average, France, FRA
5.3444786, 2020-2039, gfdl_cm3, Jan Average, France, FRA
6.2591786, 2020-2039, gfdl_cm3, Feb Average, France, FRA
7.913921, 2020-2039, gfdl_cm3, Mar Average, France, FRA
11.057548, 2020-2039, gfdl_cm3, Apr Average, France, FRA
13.903532, 2020-2039, gfdl_cm3, May Average, France, FRA
18.132196, 2020-2039, gfdl_cm3, Jun Average, France, FRA
22.33047, 2020-2039, gfdl_cm3, Jul Average, France, FRA
22.48426, 2020-2039, gfdl_cm3, Aug Average, France, FRA
18.281559, 2020-2039, gfdl_cm3, Sep Average, France, FRA
13.445091, 2020-2039, gfdl_cm3, Oct Average, France, FRA
9.93929, 2020-2039, gfdl_cm3, Nov Average, France, FRA
7.235854, 2020-2039, gfdl_cm3, Dec Average, France, FRA
6.4632053, 2020-2039, gfdl_esm2m, Jan Average, France, FRA
7.196746, 2020-2039, gfdl_esm2m, Feb Average, France, FRA
