Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.3054001, 2060-2079, bcc_csm1_1, Jan Anomaly, France, FRA
1.2317381, 2060-2079, bcc_csm1_1, Feb Anomaly, France, FRA
1.1413168, 2060-2079, bcc_csm1_1, Mar Anomaly, France, FRA
1.4505032, 2060-2079, bcc_csm1_1, Apr Anomaly, France, FRA
1.2032591, 2060-2079, bcc_csm1_1, May Anomaly, France, FRA
1.9861051, 2060-2079, bcc_csm1_1, Jun Anomaly, France, FRA
1.8805214, 2060-2079, bcc_csm1_1, Jul Anomaly, France, FRA
2.2074203, 2060-2079, bcc_csm1_1, Aug Anomaly, France, FRA
2.1774106, 2060-2079, bcc_csm1_1, Sep Anomaly, France, FRA
1.2732255, 2060-2079, bcc_csm1_1, Oct Anomaly, France, FRA
1.0306576, 2060-2079, bcc_csm1_1, Nov Anomaly, France, FRA
1.2185425, 2060-2079, bcc_csm1_1, Dec Anomaly, France, FRA
1.3510607, 2060-2079, bcc_csm1_1_m, Jan Anomaly, France, FRA
0.7192559, 2060-2079, bcc_csm1_1_m, Feb Anomaly, France, FRA
1.2373661, 2060-2079, bcc_csm1_1_m, Mar Anomaly, France, FRA
1.0260073, 2060-2079, bcc_csm1_1_m, Apr Anomaly, France, FRA
1.3238615, 2060-2079, bcc_csm1_1_m, May Anomaly, France, FRA
2.7653127, 2060-2079, bcc_csm1_1_m, Jun Anomaly, France, FRA
1.5949187, 2060-2079, bcc_csm1_1_m, Jul Anomaly, France, FRA
1.5918304, 2060-2079, bcc_csm1_1_m, Aug Anomaly, France, FRA
2.0007346, 2060-2079, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.1500995, 2060-2079, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.1401472, 2060-2079, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.0319883, 2060-2079, bcc_csm1_1_m, Dec Anomaly, France, FRA
1.1351246, 2060-2079, ccsm4, Jan Anomaly, France, FRA
2.0807002, 2060-2079, ccsm4, Feb Anomaly, France, FRA
1.6014447, 2060-2079, ccsm4, Mar Anomaly, France, FRA
1.5519152, 2060-2079, ccsm4, Apr Anomaly, France, FRA
1.8422011, 2060-2079, ccsm4, May Anomaly, France, FRA
2.6434152, 2060-2079, ccsm4, Jun Anomaly, France, FRA
2.3749654, 2060-2079, ccsm4, Jul Anomaly, France, FRA
3.4714968, 2060-2079, ccsm4, Aug Anomaly, France, FRA
2.329196, 2060-2079, ccsm4, Sep Anomaly, France, FRA
1.01585, 2060-2079, ccsm4, Oct Anomaly, France, FRA
1.6019498, 2060-2079, ccsm4, Nov Anomaly, France, FRA
1.7135274, 2060-2079, ccsm4, Dec Anomaly, France, FRA
