Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
3.3417678, 2080-2099, bcc_csm1_1, Jan Anomaly, France, FRA
2.8202622, 2080-2099, bcc_csm1_1, Feb Anomaly, France, FRA
2.9847536, 2080-2099, bcc_csm1_1, Mar Anomaly, France, FRA
3.2688854, 2080-2099, bcc_csm1_1, Apr Anomaly, France, FRA
4.3226914, 2080-2099, bcc_csm1_1, May Anomaly, France, FRA
4.494346, 2080-2099, bcc_csm1_1, Jun Anomaly, France, FRA
6.9281535, 2080-2099, bcc_csm1_1, Jul Anomaly, France, FRA
6.1950474, 2080-2099, bcc_csm1_1, Aug Anomaly, France, FRA
4.843432, 2080-2099, bcc_csm1_1, Sep Anomaly, France, FRA
3.8253715, 2080-2099, bcc_csm1_1, Oct Anomaly, France, FRA
3.67347, 2080-2099, bcc_csm1_1, Nov Anomaly, France, FRA
3.3653002, 2080-2099, bcc_csm1_1, Dec Anomaly, France, FRA
2.4509392, 2080-2099, bcc_csm1_1_m, Jan Anomaly, France, FRA
2.2151458, 2080-2099, bcc_csm1_1_m, Feb Anomaly, France, FRA
2.2963653, 2080-2099, bcc_csm1_1_m, Mar Anomaly, France, FRA
2.049276, 2080-2099, bcc_csm1_1_m, Apr Anomaly, France, FRA
3.1705985, 2080-2099, bcc_csm1_1_m, May Anomaly, France, FRA
5.4611726, 2080-2099, bcc_csm1_1_m, Jun Anomaly, France, FRA
5.564026, 2080-2099, bcc_csm1_1_m, Jul Anomaly, France, FRA
5.616245, 2080-2099, bcc_csm1_1_m, Aug Anomaly, France, FRA
4.6003695, 2080-2099, bcc_csm1_1_m, Sep Anomaly, France, FRA
3.2105393, 2080-2099, bcc_csm1_1_m, Oct Anomaly, France, FRA
3.2470021, 2080-2099, bcc_csm1_1_m, Nov Anomaly, France, FRA
2.3926957, 2080-2099, bcc_csm1_1_m, Dec Anomaly, France, FRA
2.2214682, 2080-2099, ccsm4, Jan Anomaly, France, FRA
3.5895677, 2080-2099, ccsm4, Feb Anomaly, France, FRA
2.9995713, 2080-2099, ccsm4, Mar Anomaly, France, FRA
3.0394132, 2080-2099, ccsm4, Apr Anomaly, France, FRA
3.9639812, 2080-2099, ccsm4, May Anomaly, France, FRA
4.897112, 2080-2099, ccsm4, Jun Anomaly, France, FRA
5.955395, 2080-2099, ccsm4, Jul Anomaly, France, FRA
6.8368187, 2080-2099, ccsm4, Aug Anomaly, France, FRA
4.730603, 2080-2099, ccsm4, Sep Anomaly, France, FRA
3.2744899, 2080-2099, ccsm4, Oct Anomaly, France, FRA
3.1881928, 2080-2099, ccsm4, Nov Anomaly, France, FRA
2.9468336, 2080-2099, ccsm4, Dec Anomaly, France, FRA
