Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.30939215, 2060-2079, bcc_csm1_1, Jan Anomaly, France, FRA
-0.017267872, 2060-2079, bcc_csm1_1, Feb Anomaly, France, FRA
0.6990566, 2060-2079, bcc_csm1_1, Mar Anomaly, France, FRA
0.7376802, 2060-2079, bcc_csm1_1, Apr Anomaly, France, FRA
0.41479576, 2060-2079, bcc_csm1_1, May Anomaly, France, FRA
0.7012528, 2060-2079, bcc_csm1_1, Jun Anomaly, France, FRA
0.5887362, 2060-2079, bcc_csm1_1, Jul Anomaly, France, FRA
1.4999949, 2060-2079, bcc_csm1_1, Aug Anomaly, France, FRA
1.0173131, 2060-2079, bcc_csm1_1, Sep Anomaly, France, FRA
1.165318, 2060-2079, bcc_csm1_1, Oct Anomaly, France, FRA
1.403065, 2060-2079, bcc_csm1_1, Nov Anomaly, France, FRA
0.86812776, 2060-2079, bcc_csm1_1, Dec Anomaly, France, FRA
0.8848998, 2060-2079, bcc_csm1_1_m, Jan Anomaly, France, FRA
1.261493, 2060-2079, bcc_csm1_1_m, Feb Anomaly, France, FRA
1.1770301, 2060-2079, bcc_csm1_1_m, Mar Anomaly, France, FRA
0.34779358, 2060-2079, bcc_csm1_1_m, Apr Anomaly, France, FRA
-0.49357045, 2060-2079, bcc_csm1_1_m, May Anomaly, France, FRA
1.4798815, 2060-2079, bcc_csm1_1_m, Jun Anomaly, France, FRA
0.7676367, 2060-2079, bcc_csm1_1_m, Jul Anomaly, France, FRA
1.7806134, 2060-2079, bcc_csm1_1_m, Aug Anomaly, France, FRA
2.3157184, 2060-2079, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.3968538, 2060-2079, bcc_csm1_1_m, Oct Anomaly, France, FRA
1.7043209, 2060-2079, bcc_csm1_1_m, Nov Anomaly, France, FRA
0.44869688, 2060-2079, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.84326136, 2060-2079, ccsm4, Jan Anomaly, France, FRA
1.1597677, 2060-2079, ccsm4, Feb Anomaly, France, FRA
1.4817115, 2060-2079, ccsm4, Mar Anomaly, France, FRA
1.3423891, 2060-2079, ccsm4, Apr Anomaly, France, FRA
1.8485558, 2060-2079, ccsm4, May Anomaly, France, FRA
2.0855865, 2060-2079, ccsm4, Jun Anomaly, France, FRA
1.6354386, 2060-2079, ccsm4, Jul Anomaly, France, FRA
2.1065598, 2060-2079, ccsm4, Aug Anomaly, France, FRA
