Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
6.4254136, 2020-2039, bcc_csm1_1, Jan Average, France, FRA
6.2000947, 2020-2039, bcc_csm1_1, Feb Average, France, FRA
7.832742, 2020-2039, bcc_csm1_1, Mar Average, France, FRA
10.075031, 2020-2039, bcc_csm1_1, Apr Average, France, FRA
13.018789, 2020-2039, bcc_csm1_1, May Average, France, FRA
17.590946, 2020-2039, bcc_csm1_1, Jun Average, France, FRA
21.115877, 2020-2039, bcc_csm1_1, Jul Average, France, FRA
21.273062, 2020-2039, bcc_csm1_1, Aug Average, France, FRA
17.67078, 2020-2039, bcc_csm1_1, Sep Average, France, FRA
12.747321, 2020-2039, bcc_csm1_1, Oct Average, France, FRA
9.477337, 2020-2039, bcc_csm1_1, Nov Average, France, FRA
7.3417645, 2020-2039, bcc_csm1_1, Dec Average, France, FRA
6.59159, 2020-2039, bcc_csm1_1_m, Jan Average, France, FRA
6.7398777, 2020-2039, bcc_csm1_1_m, Feb Average, France, FRA
7.754608, 2020-2039, bcc_csm1_1_m, Mar Average, France, FRA
9.957425, 2020-2039, bcc_csm1_1_m, Apr Average, France, FRA
14.265286, 2020-2039, bcc_csm1_1_m, May Average, France, FRA
19.192976, 2020-2039, bcc_csm1_1_m, Jun Average, France, FRA
21.121946, 2020-2039, bcc_csm1_1_m, Jul Average, France, FRA
20.921625, 2020-2039, bcc_csm1_1_m, Aug Average, France, FRA
17.670319, 2020-2039, bcc_csm1_1_m, Sep Average, France, FRA
13.266556, 2020-2039, bcc_csm1_1_m, Oct Average, France, FRA
9.478084, 2020-2039, bcc_csm1_1_m, Nov Average, France, FRA
7.7966537, 2020-2039, bcc_csm1_1_m, Dec Average, France, FRA
6.7976737, 2020-2039, ccsm4, Jan Average, France, FRA
7.7157893, 2020-2039, ccsm4, Feb Average, France, FRA
8.953548, 2020-2039, ccsm4, Mar Average, France, FRA
11.3817005, 2020-2039, ccsm4, Apr Average, France, FRA
14.652994, 2020-2039, ccsm4, May Average, France, FRA
18.468763, 2020-2039, ccsm4, Jun Average, France, FRA
20.690733, 2020-2039, ccsm4, Jul Average, France, FRA
20.91025, 2020-2039, ccsm4, Aug Average, France, FRA
17.529617, 2020-2039, ccsm4, Sep Average, France, FRA
13.198889, 2020-2039, ccsm4, Oct Average, France, FRA
9.631052, 2020-2039, ccsm4, Nov Average, France, FRA
7.7905583, 2020-2039, ccsm4, Dec Average, France, FRA
5.4763694, 2020-2039, cesm1_cam5, Jan Average, France, FRA
6.191581, 2020-2039, cesm1_cam5, Feb Average, France, FRA
8.315208, 2020-2039, cesm1_cam5, Mar Average, France, FRA
10.760623, 2020-2039, cesm1_cam5, Apr Average, France, FRA
13.999695, 2020-2039, cesm1_cam5, May Average, France, FRA
17.940437, 2020-2039, cesm1_cam5, Jun Average, France, FRA
19.70218, 2020-2039, cesm1_cam5, Jul Average, France, FRA
19.565344, 2020-2039, cesm1_cam5, Aug Average, France, FRA
16.715967, 2020-2039, cesm1_cam5, Sep Average, France, FRA
12.965176, 2020-2039, cesm1_cam5, Oct Average, France, FRA
9.336096, 2020-2039, cesm1_cam5, Nov Average, France, FRA
6.9953327, 2020-2039, cesm1_cam5, Dec Average, France, FRA
4.2182446, 2020-2039, csiro_mk3_6_0, Jan Average, France, FRA
4.381476, 2020-2039, csiro_mk3_6_0, Feb Average, France, FRA
5.598814, 2020-2039, csiro_mk3_6_0, Mar Average, France, FRA
9.072753, 2020-2039, csiro_mk3_6_0, Apr Average, France, FRA
