Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.3804008, 2080-2099, bcc_csm1_1, Jan Anomaly, France, FRA
1.2796419, 2080-2099, bcc_csm1_1, Feb Anomaly, France, FRA
1.5866097, 2080-2099, bcc_csm1_1, Mar Anomaly, France, FRA
1.5095164, 2080-2099, bcc_csm1_1, Apr Anomaly, France, FRA
1.4386729, 2080-2099, bcc_csm1_1, May Anomaly, France, FRA
2.016935, 2080-2099, bcc_csm1_1, Jun Anomaly, France, FRA
3.0940125, 2080-2099, bcc_csm1_1, Jul Anomaly, France, FRA
1.9159887, 2080-2099, bcc_csm1_1, Aug Anomaly, France, FRA
2.275191, 2080-2099, bcc_csm1_1, Sep Anomaly, France, FRA
1.6318811, 2080-2099, bcc_csm1_1, Oct Anomaly, France, FRA
1.8495734, 2080-2099, bcc_csm1_1, Nov Anomaly, France, FRA
1.1742268, 2080-2099, bcc_csm1_1, Dec Anomaly, France, FRA
1.4146388, 2080-2099, bcc_csm1_1_m, Jan Anomaly, France, FRA
1.3339293, 2080-2099, bcc_csm1_1_m, Feb Anomaly, France, FRA
1.3642898, 2080-2099, bcc_csm1_1_m, Mar Anomaly, France, FRA
1.1924088, 2080-2099, bcc_csm1_1_m, Apr Anomaly, France, FRA
0.61151123, 2080-2099, bcc_csm1_1_m, May Anomaly, France, FRA
3.3143177, 2080-2099, bcc_csm1_1_m, Jun Anomaly, France, FRA
2.2351398, 2080-2099, bcc_csm1_1_m, Jul Anomaly, France, FRA
2.0600855, 2080-2099, bcc_csm1_1_m, Aug Anomaly, France, FRA
2.7184095, 2080-2099, bcc_csm1_1_m, Sep Anomaly, France, FRA
1.363295, 2080-2099, bcc_csm1_1_m, Oct Anomaly, France, FRA
2.1851237, 2080-2099, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.3452559, 2080-2099, bcc_csm1_1_m, Dec Anomaly, France, FRA
0.7827665, 2080-2099, ccsm4, Jan Anomaly, France, FRA
1.7385299, 2080-2099, ccsm4, Feb Anomaly, France, FRA
1.9674103, 2080-2099, ccsm4, Mar Anomaly, France, FRA
1.5570309, 2080-2099, ccsm4, Apr Anomaly, France, FRA
2.0231915, 2080-2099, ccsm4, May Anomaly, France, FRA
2.4735684, 2080-2099, ccsm4, Jun Anomaly, France, FRA
2.298699, 2080-2099, ccsm4, Jul Anomaly, France, FRA
3.3991477, 2080-2099, ccsm4, Aug Anomaly, France, FRA
2.182691, 2080-2099, ccsm4, Sep Anomaly, France, FRA
1.3585325, 2080-2099, ccsm4, Oct Anomaly, France, FRA
1.9320462, 2080-2099, ccsm4, Nov Anomaly, France, FRA
1.3652234, 2080-2099, ccsm4, Dec Anomaly, France, FRA
2.6852396, 2080-2099, cesm1_cam5, Jan Anomaly, France, FRA
2.024793, 2080-2099, cesm1_cam5, Feb Anomaly, France, FRA
1.9857415, 2080-2099, cesm1_cam5, Mar Anomaly, France, FRA
2.0818734, 2080-2099, cesm1_cam5, Apr Anomaly, France, FRA
1.9686427, 2080-2099, cesm1_cam5, May Anomaly, France, FRA
2.259144, 2080-2099, cesm1_cam5, Jun Anomaly, France, FRA
2.6635008, 2080-2099, cesm1_cam5, Jul Anomaly, France, FRA
3.256225, 2080-2099, cesm1_cam5, Aug Anomaly, France, FRA
3.0334454, 2080-2099, cesm1_cam5, Sep Anomaly, France, FRA
2.4134045, 2080-2099, cesm1_cam5, Oct Anomaly, France, FRA
1.9184364, 2080-2099, cesm1_cam5, Nov Anomaly, France, FRA
2.2535787, 2080-2099, cesm1_cam5, Dec Anomaly, France, FRA
0.77881205, 2080-2099, csiro_mk3_6_0, Jan Anomaly, France, FRA
1.8313137, 2080-2099, csiro_mk3_6_0, Feb Anomaly, France, FRA
